scenario,encryption_level,data_obfuscation_level,runs,duration_minutes,privacy_score_mean,security_score_mean,transparency_score_mean,risk_detection_accuracy_mean,precision_mean,recall_mean,f1_score_mean,latency_mean_ms,energy_total_mean_mj,encrypted_payload_rate,name_pseudonymized_rate,location_changed_rate,vitals_changed_rate,aggregate_csv,temporal_log_csv,privacy_score_delta_vs_standard,privacy_score_gain_pct
standard,none,none,1,60,0.22,0.42,0.17999999999999997,0.9475,0.5,0.015873015873015872,0.03076923076923077,62.07410083333333,215.70000000000002,0.0,0.0,0.0,0.0525,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145332_e65e1b.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145332_e65e1b.csv,0.0,0.0
encryption_low,low,none,1,60,0.29,0.4699999999999998,0.17999999999999997,0.9475,0.5,0.015873015873015872,0.03076923076923077,66.07410083333333,245.7,1.0,0.0,0.0,0.0525,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145333_36febb.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145333_36febb.csv,0.06999999999999998,31.818181818181806
encryption_medium,medium,none,1,60,0.35,0.52,0.17999999999999997,0.9475,0.5,0.015873015873015872,0.03076923076923077,70.07410083333333,269.70000000000005,1.0,0.0,0.0,0.0525,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145333_c6c385.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145333_c6c385.csv,0.12999999999999998,59.09090909090908
encryption_high,high,none,1,60,0.41000000000000003,0.57,0.17999999999999997,0.9475,0.5,0.015873015873015872,0.03076923076923077,74.07410083333333,299.70000000000005,1.0,0.0,0.0,0.0525,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145333_7a24eb.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145333_7a24eb.csv,0.19000000000000003,86.36363636363637
data_obfuscation_low,none,low,1,60,0.29,0.42,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,61.743827499999995,215.70000000000002,0.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145333_bc497b.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145333_bc497b.csv,0.06999999999999998,31.818181818181806
data_obfuscation_medium,none,medium,1,60,0.35999999999999993,0.42,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,61.743827499999995,215.70000000000002,0.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145333_f0f76e.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145333_f0f76e.csv,0.13999999999999993,63.636363636363605
data_obfuscation_high,none,high,1,60,0.4300000000000001,0.42,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,61.743827499999995,215.70000000000002,0.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145333_574eb5.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145333_574eb5.csv,0.2100000000000001,95.4545454545455
combined_low_low,low,low,1,60,0.35999999999999993,0.4699999999999998,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,65.7438275,245.7,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145333_fd9678.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145333_fd9678.csv,0.13999999999999993,63.636363636363605
combined_low_medium,low,medium,1,60,0.4300000000000001,0.4699999999999998,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,65.7438275,245.7,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145334_3fa8c1.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145334_3fa8c1.csv,0.2100000000000001,95.4545454545455
combined_low_high,low,high,1,60,0.5,0.4699999999999998,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,65.7438275,245.7,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145334_a50afe.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145334_a50afe.csv,0.28,127.2727272727273
combined_medium_low,medium,low,1,60,0.42,0.52,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,69.7438275,269.70000000000005,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145334_9139b3.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145334_9139b3.csv,0.19999999999999998,90.9090909090909
combined_medium_medium,medium,medium,1,60,0.4900000000000001,0.52,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,69.7438275,269.70000000000005,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145334_bfb2cc.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145334_bfb2cc.csv,0.27000000000000013,122.72727272727279
combined_medium_high,medium,high,1,60,0.5600000000000002,0.52,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,69.7438275,269.70000000000005,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145334_653849.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145334_653849.csv,0.3400000000000002,154.54545454545462
combined_high_low,high,low,1,60,0.48,0.57,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,73.7438275,299.70000000000005,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145334_759206.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145334_759206.csv,0.26,118.18181818181819
combined_high_medium,high,medium,1,60,0.55,0.57,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,73.7438275,299.70000000000005,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145335_73e666.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145335_73e666.csv,0.33000000000000007,150.00000000000003
combined_high_high,high,high,1,60,0.62,0.57,0.17999999999999997,0.9483333333333334,0.0,0.0,0.0,73.7438275,299.70000000000005,1.0,1.0,0.0,1.0,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/aggregate/aggregate_EXP_20260514_145335_d854d7.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/readme_smoke/logs/temporal_log_EXP_20260514_145335_d854d7.csv,0.4,181.81818181818184
