architecture_label,architecture,workload_label,privacy_label,repetition,created,delivered,expired,failed,recovered,sensitive_created,sensitive_delivered,success_rate,expiration_rate,avg_latency_s,p95_latency_s,privacy_comm_burden_s
Centralized,centralized-impprox,Low Load,Low Privacy Overhead,1,19,19,0,4,4,8,8,1.0,0.0,28.395034971179573,53.26190728074171,12.0
Semi-Decentralized,semi-decentralized,Low Load,Low Privacy Overhead,1,21,20,0,2,2,11,11,0.9523809523809523,0.0,20.757414146497286,51.6706251795359,12.375
Decentralized,decentralized,Low Load,Low Privacy Overhead,1,19,18,0,2,2,10,9,0.9473684210526315,0.0,21.66508385955487,38.31880612862774,0.0
Centralized,centralized-impprox,Low Load,Medium Privacy Overhead,1,14,14,0,3,3,8,8,1.0,0.0,23.80029849777279,46.3974731091125,60.0
Semi-Decentralized,semi-decentralized,Low Load,Medium Privacy Overhead,1,15,14,0,2,2,8,7,0.9333333333333333,0.0,29.88956304809796,57.751014865114456,39.375
Decentralized,decentralized,Low Load,Medium Privacy Overhead,1,19,18,0,2,1,15,14,0.9473684210526315,0.0,21.76845654235998,44.294024637849624,0.0
Centralized,centralized-impprox,Low Load,High Privacy Overhead,1,22,21,0,2,2,11,11,0.9545454545454546,0.0,46.21515317468986,141.88624485702303,330.0
Semi-Decentralized,semi-decentralized,Low Load,High Privacy Overhead,1,21,21,0,2,2,9,9,1.0,0.0,35.06918303066208,56.28444880529992,202.5
Decentralized,decentralized,Low Load,High Privacy Overhead,1,21,18,1,3,3,12,11,0.8571428571428571,0.047619047619047616,26.280746894855195,53.67019312467448,0.0
Centralized,centralized-impprox,Medium Load,Low Privacy Overhead,1,34,33,0,4,3,23,22,0.9705882352941176,0.0,23.68047060550314,52.232410947336476,33.0
Semi-Decentralized,semi-decentralized,Medium Load,Low Privacy Overhead,1,39,37,1,9,8,21,19,0.9487179487179487,0.02564102564102564,40.172059406077274,80.42090619826273,21.375
Decentralized,decentralized,Medium Load,Low Privacy Overhead,1,29,28,0,2,2,20,20,0.9655172413793104,0.0,25.457323472221304,47.829072868109684,0.0
Centralized,centralized-impprox,Medium Load,Medium Privacy Overhead,1,38,37,0,4,4,24,24,0.9736842105263158,0.0,32.55730554300803,54.27282779089399,180.0
Semi-Decentralized,semi-decentralized,Medium Load,Medium Privacy Overhead,1,45,44,0,5,5,23,22,0.9777777777777777,0.0,32.25663222902588,51.920044155882984,123.75
Decentralized,decentralized,Medium Load,Medium Privacy Overhead,1,42,39,1,6,5,25,23,0.9285714285714286,0.023809523809523808,24.199593324278933,58.933068718332336,0.0
Centralized,centralized-impprox,Medium Load,High Privacy Overhead,1,35,34,0,4,3,20,20,0.9714285714285714,0.0,34.22085248580669,65.10080569716207,600.0
Semi-Decentralized,semi-decentralized,Medium Load,High Privacy Overhead,1,28,27,0,4,2,20,20,0.9642857142857143,0.0,38.49247969366807,77.46945333975012,450.0
Decentralized,decentralized,Medium Load,High Privacy Overhead,1,34,33,0,6,6,20,20,0.9705882352941176,0.0,42.34517303804848,63.880494020630074,0.0
Centralized,centralized-impprox,High Load,Low Privacy Overhead,1,115,113,1,22,20,68,66,0.9826086956521739,0.008695652173913044,23.354674494847437,49.76462513969625,99.0
Semi-Decentralized,semi-decentralized,High Load,Low Privacy Overhead,1,128,125,1,26,20,71,70,0.9765625,0.0078125,24.558789352289185,47.90323768663863,78.75
Decentralized,decentralized,High Load,Low Privacy Overhead,1,123,123,0,25,24,72,72,1.0,0.0,27.346813007429645,52.242365373702654,0.0
Centralized,centralized-impprox,High Load,Medium Privacy Overhead,1,112,111,0,16,14,71,70,0.9910714285714286,0.0,27.863594094712365,61.30365792182033,525.0
Semi-Decentralized,semi-decentralized,High Load,Medium Privacy Overhead,1,113,112,0,20,18,70,69,0.9911504424778761,0.0,32.455546914159086,70.9864520981742,388.125
Decentralized,decentralized,High Load,Medium Privacy Overhead,1,109,107,0,28,28,64,62,0.981651376146789,0.0,27.418678924717632,62.815624595857926,0.0
Centralized,centralized-impprox,High Load,High Privacy Overhead,1,123,123,0,20,20,74,74,1.0,0.0,41.49516513170933,91.27469517382883,2220.0
Semi-Decentralized,semi-decentralized,High Load,High Privacy Overhead,1,119,115,1,22,19,75,71,0.9663865546218487,0.008403361344537815,51.79841427801515,143.78227385598333,1597.5
Decentralized,decentralized,High Load,High Privacy Overhead,1,110,110,0,14,13,65,65,1.0,0.0,28.5524880229876,48.738368600392164,0.0
