workload_label,privacy_label,architecture_label,avg_created,avg_delivered,avg_expired,avg_failed,avg_recovered,avg_sensitive_created,avg_sensitive_delivered,avg_success_rate,avg_expiration_rate,avg_latency_s,p95_latency_s,avg_privacy_comm_burden_s
High Load,High Privacy Overhead,Centralized,123.0,123.0,0.0,20.0,20.0,74.0,74.0,1.0,0.0,41.49516513170933,91.27469517382883,2220.0
High Load,High Privacy Overhead,Decentralized,110.0,110.0,0.0,14.0,13.0,65.0,65.0,1.0,0.0,28.5524880229876,48.738368600392164,0.0
High Load,High Privacy Overhead,Semi-Decentralized,119.0,115.0,1.0,22.0,19.0,75.0,71.0,0.9663865546218487,0.008403361344537815,51.79841427801515,143.78227385598333,1597.5
High Load,Low Privacy Overhead,Centralized,115.0,113.0,1.0,22.0,20.0,68.0,66.0,0.9826086956521739,0.008695652173913044,23.354674494847437,49.76462513969625,99.0
High Load,Low Privacy Overhead,Decentralized,123.0,123.0,0.0,25.0,24.0,72.0,72.0,1.0,0.0,27.346813007429645,52.242365373702654,0.0
High Load,Low Privacy Overhead,Semi-Decentralized,128.0,125.0,1.0,26.0,20.0,71.0,70.0,0.9765625,0.0078125,24.558789352289185,47.90323768663863,78.75
High Load,Medium Privacy Overhead,Centralized,112.0,111.0,0.0,16.0,14.0,71.0,70.0,0.9910714285714286,0.0,27.863594094712365,61.30365792182033,525.0
High Load,Medium Privacy Overhead,Decentralized,109.0,107.0,0.0,28.0,28.0,64.0,62.0,0.981651376146789,0.0,27.418678924717632,62.815624595857926,0.0
High Load,Medium Privacy Overhead,Semi-Decentralized,113.0,112.0,0.0,20.0,18.0,70.0,69.0,0.9911504424778761,0.0,32.455546914159086,70.9864520981742,388.125
Low Load,High Privacy Overhead,Centralized,22.0,21.0,0.0,2.0,2.0,11.0,11.0,0.9545454545454546,0.0,46.21515317468986,141.88624485702303,330.0
Low Load,High Privacy Overhead,Decentralized,21.0,18.0,1.0,3.0,3.0,12.0,11.0,0.8571428571428571,0.047619047619047616,26.280746894855195,53.67019312467448,0.0
Low Load,High Privacy Overhead,Semi-Decentralized,21.0,21.0,0.0,2.0,2.0,9.0,9.0,1.0,0.0,35.06918303066208,56.28444880529992,202.5
Low Load,Low Privacy Overhead,Centralized,19.0,19.0,0.0,4.0,4.0,8.0,8.0,1.0,0.0,28.395034971179573,53.26190728074171,12.0
Low Load,Low Privacy Overhead,Decentralized,19.0,18.0,0.0,2.0,2.0,10.0,9.0,0.9473684210526315,0.0,21.66508385955487,38.31880612862774,0.0
Low Load,Low Privacy Overhead,Semi-Decentralized,21.0,20.0,0.0,2.0,2.0,11.0,11.0,0.9523809523809523,0.0,20.757414146497286,51.6706251795359,12.375
Low Load,Medium Privacy Overhead,Centralized,14.0,14.0,0.0,3.0,3.0,8.0,8.0,1.0,0.0,23.80029849777279,46.3974731091125,60.0
Low Load,Medium Privacy Overhead,Decentralized,19.0,18.0,0.0,2.0,1.0,15.0,14.0,0.9473684210526315,0.0,21.76845654235998,44.294024637849624,0.0
Low Load,Medium Privacy Overhead,Semi-Decentralized,15.0,14.0,0.0,2.0,2.0,8.0,7.0,0.9333333333333333,0.0,29.88956304809796,57.751014865114456,39.375
Medium Load,High Privacy Overhead,Centralized,35.0,34.0,0.0,4.0,3.0,20.0,20.0,0.9714285714285714,0.0,34.22085248580669,65.10080569716207,600.0
Medium Load,High Privacy Overhead,Decentralized,34.0,33.0,0.0,6.0,6.0,20.0,20.0,0.9705882352941176,0.0,42.34517303804848,63.880494020630074,0.0
Medium Load,High Privacy Overhead,Semi-Decentralized,28.0,27.0,0.0,4.0,2.0,20.0,20.0,0.9642857142857143,0.0,38.49247969366807,77.46945333975012,450.0
Medium Load,Low Privacy Overhead,Centralized,34.0,33.0,0.0,4.0,3.0,23.0,22.0,0.9705882352941176,0.0,23.68047060550314,52.232410947336476,33.0
Medium Load,Low Privacy Overhead,Decentralized,29.0,28.0,0.0,2.0,2.0,20.0,20.0,0.9655172413793104,0.0,25.457323472221304,47.829072868109684,0.0
Medium Load,Low Privacy Overhead,Semi-Decentralized,39.0,37.0,1.0,9.0,8.0,21.0,19.0,0.9487179487179487,0.02564102564102564,40.172059406077274,80.42090619826273,21.375
Medium Load,Medium Privacy Overhead,Centralized,38.0,37.0,0.0,4.0,4.0,24.0,24.0,0.9736842105263158,0.0,32.55730554300803,54.27282779089399,180.0
Medium Load,Medium Privacy Overhead,Decentralized,42.0,39.0,1.0,6.0,5.0,25.0,23.0,0.9285714285714286,0.023809523809523808,24.199593324278933,58.933068718332336,0.0
Medium Load,Medium Privacy Overhead,Semi-Decentralized,45.0,44.0,0.0,5.0,5.0,23.0,22.0,0.9777777777777777,0.0,32.25663222902588,51.920044155882984,123.75
