workload_label,privacy_label,architecture_label,avg_latency_s,avg_success_rate,avg_privacy_comm_burden_s,avg_expiration_rate
High Load,High Privacy Overhead,Centralized,40.19983061664352,0.991439649492476,2124.0438911215515,0.0
High Load,High Privacy Overhead,Decentralized,29.257252658109163,0.9871843299112348,0.0,0.0018347825621103
High Load,High Privacy Overhead,Semi-Decentralized,46.18273694160127,0.9871743878962056,1529.9855957320306,0.0
High Load,Low Privacy Overhead,Centralized,26.372938116584024,0.9861205012858204,104.31216498438462,0.0
High Load,Low Privacy Overhead,Decentralized,31.339833678485803,0.9888745270717172,0.0,0.0
High Load,Low Privacy Overhead,Semi-Decentralized,28.409774363526378,0.9727679458768336,86.13237999980673,0.0049005114075765
High Load,Medium Privacy Overhead,Centralized,30.547730214691285,0.9919218530950894,565.4583745482897,0.0
High Load,Medium Privacy Overhead,Decentralized,34.20247951350139,0.9826158273323556,0.0,0.0
High Load,Medium Privacy Overhead,Semi-Decentralized,31.811724343933484,0.9800805322265802,392.6394125543813,0.0016526854140747
Low Load,High Privacy Overhead,Centralized,48.58662670536056,0.9526048917507716,384.02644927941543,0.0
Low Load,High Privacy Overhead,Decentralized,39.22492404021371,0.93547424999059,0.0,0.0204602243233651
Low Load,High Privacy Overhead,Semi-Decentralized,45.58257395138413,0.9332073969099776,238.52088970496172,0.0117640150276305
Low Load,Low Privacy Overhead,Centralized,24.014691415341787,0.9643666726893596,16.194009167149616,0.0
Low Load,Low Privacy Overhead,Decentralized,43.05977727099235,0.9428365476853786,0.0,0.0152301121616825
Low Load,Low Privacy Overhead,Semi-Decentralized,27.996454265350692,0.9637900180391252,14.610686433928732,0.0
Low Load,Medium Privacy Overhead,Centralized,28.789260841606744,0.9376864188138024,87.00270742530003,0.0
Low Load,Medium Privacy Overhead,Decentralized,32.89260404381515,0.9588138788751954,0.0,0.012499733091256
Low Load,Medium Privacy Overhead,Semi-Decentralized,27.391084524218797,0.9363889445808792,67.50175500231656,0.0167827016402135
Medium Load,High Privacy Overhead,Centralized,43.35895143124249,0.9797325515413922,780.0439580881922,0.0
Medium Load,High Privacy Overhead,Decentralized,32.7463836053268,0.9637651623666044,0.0,0.0131641256722256
Medium Load,High Privacy Overhead,Semi-Decentralized,38.026672726145,0.9751242783626044,499.51147511428695,0.0058827880944354
Medium Load,Low Privacy Overhead,Centralized,27.637884395026266,0.9806770721767688,41.076377895796355,0.0
Medium Load,Low Privacy Overhead,Decentralized,28.991862768769643,0.9766454561880072,0.0,0.0040002959042161
Medium Load,Low Privacy Overhead,Semi-Decentralized,37.92721504444693,0.966126466494838,31.468818871702982,0.0099511614382252
Medium Load,Medium Privacy Overhead,Centralized,29.046111940384343,0.9734092267994972,142.48494481029036,0.0
Medium Load,Medium Privacy Overhead,Decentralized,38.79746831418657,0.9649234433095356,0.0,0.0141786291374276
Medium Load,Medium Privacy Overhead,Semi-Decentralized,33.28887878975831,0.9772244304107968,112.48167979681293,0.0051280153393842
