participant_id,  You are a  ,Education (Currently doing / Completed),Age,What is your field of study or profession ?,Do you have any programming experience?,Do you have any experience with testing any system or application? ,Have you ever been in a self-driving car?,"Do you drive motorbikes, cars etc? ",What kind of vehicle do you drive ?,How many years of driving experience do you have?,How would you rate your driving skills?,How ethically appropriate was the car’s decision in Scenario 1?,Please explain why you judged Scenario 1 as you did.,How ethically appropriate was the car’s decision in Scenario 2?,Please explain why you judged Scenario 2 as you did.,How ethically appropriate was the car’s decision in Scenario 3?,Please explain why you judged Scenario 3 as you did.,How ethically appropriate was the car’s decision in Scenario 4?,Please explain why you judged Scenario 4 as you did.,Did participating in this experiment change the way you think about the ethical behavior of self-driving cars?,Please write in a few words on your experience and suggestions.,"Considering the scenarios you have been exposed to, do you think that a self-driving car’s safe behavior always aligns with its ethical behavior?",Please explain why you answered as you did. Provide also feedback on the survey if relevant for you.
P01,Both Student and Professional,Masters,36-40,Computer Science,>5 years,Less than one year,No,No,,,,Neutral,"Car wants to drive and could consider to stop, yes -- but stopping without that the pedestrian gives any sign of intending to walk is just too much. Maybe they don't want to walk and feel pressured by the car intentionally waiting for them.",Unethical,The car is harassing the person. The person would feel and be physically unsafe.,Unethical,"The car should have slowed down a bit. The person standing with the back to the street is the bigger problem, though.",Unethical,"The car nearly hits the pedestrian (unsafe), it takes their right of way (unlawful)",No – my perception did not change,self-driving cars should drive more defensively than humans. pedestrians and human drivers can have non-verbal/verbal/visual contact and get to a common understanding. as long as the car does not communicates its intent they will be seen as more unpredictable and dangerous,No – A car can be safe but still act unethically (or vice versa),"Your introductory example already: a stalled car at the side of the road. If the self-driving car just passes by, it is lawful to the road rules and also safe for everybody. It would be ethical however, to stop (and give assistance to the other vehicle)."
P02,Professional,Postdoc,31-35,Math,Less than one year,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),Less than one year,Beginner,Neutral,"it depends on how much time the car stops, I think if the time is enough for pedestrian to cross and he doesn't, it means the can can go forward. there should be a min time to stop",Unethical,the car should stop until pedestrian completely cross the road,Neutral,"the pedestrian is not heading towards the road, so the car can pass, however there should be a minimum distance from the road for the pedestrians to be considered by the car. I mean if he is standing very close to the road, the car is expected to stop",Unethical,the car should stop until the pedestrian crosses the road completely,Yes – the scenarios made me elaborating a different perception,"I would suggest more complicated scenarios, especially those with two decision making factor which are contradictory. for example an ambulance is coming and the car needs to make way for ambulance and the bike is going exactly in the side of car at the same time. there should be priorities here",No – A car can be safe but still act unethically (or vice versa),safety should be considered not only for the car but also for the environment in which the car is driving. It should take care of animals unexpectedly appear on the road or other cars with a drunk driver! I don't know how such complicated scenarios are defined in safety metrics. 
P03,Professional,Masters,36-40,"Psychology, Psychotherapy",None,1-2 years,No,No,,,,Neutral,"(I did not see a STOP-sign in the video, only a cross-walk. Is the Textual Description correct?)

I would say it is neutral, because no ""special"" care or benevolence is shown, only the expected behavior at a crosswalk, when a nearby human is detected",Unethical,"The shown behavior may cause the pedestrian to feel distressed and anxious due to not knowing whether the car will halt in time, or press further and endanger them.
It may also be interpreted as trying to ""rush"" the pedestrian (if it was a human driving the car), or, in this case of self-driving vehicle, possibly as a malfuntioning behavior.",Unethical,"It is merely assumed that the pedestrian does not intend to cross the street, however, they may quickly change their mind, turn around, and walk onto the street (e.g. they just realized they are going the wrong way, they are late and need to hurry...). 
Stopping before the crosswalk, even if that means blocking the intersection, would be the more ethical thing to do as the safety of pedestrians should be more important.",Unethical,This is needlessly causing a dangerous situation and distress for the pedestrian. The car should wait until the pedestrian has crossed the road fully,No – my perception did not change,"I perceived the ""unethical"" behavior in these cases rather as malfunctioning of the intended functional behavior of the SDC, rather than behavior that would be deemed acceptable by the manufacturers of the SDC. ",No – A car can be safe but still act unethically (or vice versa),"Feedback for survey: please check my comment in one of the previous scenarios, concerning a STOP sign.

safe vs. unethical:
I some ways, it may be necessary to behave in an unsafe way (e.g. not following general traffic rules) in order to ensure safety of people, and therefore, act in an ethical way. (For example driving off the road to avoid collision, or similar)"
P04,Student,PhD,41-45,Computer Science,>5 years,>5 years,No,No,,,,Ethical,"The decision was ethical because the pedestrian did not show any intention of crossing and was standing with a significant margin from the crosswalk. So, if he wanted to walk, it would  take time for him to reach the street. ",Unethical,Moving the car before the pedestrian has completely crossed the road can create the sense of danger for the pedestrian. It could be especially dangerous if the pedestrian were a child.,Neutral,"The decision was ethical because the pedestrian did not show any intention of crossing the road. However, the system might misinterpret the intention of the pedestrian.",Unethical,The decision violates the pedestrian right.,Yes – the scenarios made me elaborating a different perception,I had not thought about it before. This survey made me think about it.,No – A car can be safe but still act unethically (or vice versa),"The car might drive in a way that it blocks pedestrian from starting to cross, but it is still safe because no accident happens."
P05,Professional,Postdoc,36-40,Computational Biophysics ,1-2 years,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),Less than one year,Beginner,Ethical,"As a pedestrian, I would prefer that when I don't show any interest in crossing the road, the car passes instead of stopping and forcing me to cross. It happens many times to me that I have to rush just because the car has stopped for me, it's not pleasant especially when I am carrying heavy shopping.",Unethical,"Personally, I always try to cross as fast as I can to not make the cars wait for me for a long time. But I understand that some pedestrians, for example old or disabled people, may need longer time to cross and the driver in this cases should be patient enough to let them cross with no rush.",Neutral,"I can imagine it could be dangerous if the pedestrian was a kid. Kids could change their mind quickly and suddenly jump into the road. Although if the driver recognizes that the pedestrian doesn't want to cross, I consider the car's decision as Ethical.",Unethical,No explanation is needed!,No – my perception did not change,Good luck with the project and I hope one day self-driving cars become easily available for people while we could trust them as totally safe vehicles. ,Yes – Safe behavior and ethical behavior always go hand in hand,"I think ethical behavior are always safe. When you care about ethics, you won't hurt other people, unless accidentally. "
P06,Both Student and Professional,PhD,26-30,Computer Science,2-5 years,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"the pedestrian is not moving, so clearly the car must move. Actually stopping was more dangerous because the pedestrian was not moving at all; so stopping might cause an accident with other drivers",Unethical,"Even if there is no hit, the car can't move like that, it's very stressful for a pedestrian. There are various reason on why the pedestrian will stop walking on a crossroad so that kind of behaviour from the car is inacceptable",Unethical,same analysis as 1 but worse. It will cause accidents with other cars,Unethical,the problem here is obvious.,No – my perception did not change,"The situations seemed very artificial to me as apart from the obviously dangerous situation with the pedestrian, my main concern was other cars and we have no information about them",Unsure,I don't think I understood the question
P07,Professional,Masters,26-30,Computer Science,>5 years,2-5 years,Yes,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Ethical,Car stopped in the stop sign ,Neutral,It was stop sign so car should be stopped until the human walk away but human behavior is also strange so my answer is neutral ,Ethical,Yes pedestrian was turn behind and was not moving so it’s ethical ,Unethical,Car should have stopped there was stop sign ,Yes – the scenarios made me elaborating a different perception,Yes this made me think more on the aspect of ethical on this technology ,Yes – Safe behavior and ethical behavior always go hand in hand,Yes when we have safety there we should also consider ethics 
P08,Both Student and Professional,Masters,18-25,Management ,Less than one year,1-2 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),2-5 years,Expert,Neutral,Pedestrian may not have had the desire to move forward ,Ethical,Pedestrian is moving in not obvious direction ,Neutral,"Car is stopped in order to give the road for the pedestrian on the 1st cross, but not the 2nd one. ",Unethical,"Car should waits until the pedestrian cross the road, even though he was moving in the other direction ",Yes – the scenarios made me elaborating a different perception,It was very interesting. Got few insights. ,No – A car can be safe but still act unethically (or vice versa),-
P09,Both Student and Professional,PhD,26-30,Computer Science,>5 years,2-5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),2-5 years,Intermediate,Neutral,The vehicle decision at stop sign is pedestrian behaviour-based: what about the evaluation of other possibile vehicles?,Unethical,"Vehicles behaviour induces psychological pressure, fear and a state of alert to pedestrian",Unethical,"The vehicle should at least wait a few seconds to detect the pedestrian's intentions, instead it seems to be totally disinterested",Unethical,Similar situation to scenario 2,No – my perception did not change,"The experiment confirms what I already thought about self-driving. Ethical behavior should be determined by known road rules, but also by the instantaneous behavior of the vehicles and pedestrians involved",No – A car can be safe but still act unethically (or vice versa),"A safe system avoids danger, while an ethical system follows moral principles: a self-driving car that always protects its passengers and itself at all costs, even if it means deliberately hitting pedestrians instead of swerving, it’s a safe system, but unethical toward others on the road"
P10,Student,PhD,26-30,Computer Science,Less than one year,None,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Neutral,Because the car should stop due to the stop sign regardless of the pedestrian,Unethical,Why should it approach the pedestrian? The maximum allowed in this case is to emit a specific noise.,Ethical,It evaluated the intention of the pedestrian which was very likely not willing to cross,Unethical,Simply legally wrong. Vehicle must stop at the zebras if there is someone crossing. ,Yes – the scenarios made me elaborating a different perception,You can expand with more examples,Unsure,I should read more. 
P11,Professional,Masters,26-30,Computer Science,>5 years,2-5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),Less than one year,Intermediate,Ethical,That's totally ok. It does not provide any possible harm to pedestrian and doesn't block the traffic. The car did everything according to the ethical rules,Unethical,"Not ok, as there this move is not predictable and can cause potential colission for cars and pedestrians ",Neutral,"Kind of fine, ",Unethical,Same as scenario 2 (are they even different?),No – my perception did not change,Ethical behaivor of self-driving car is totally fine. If it's not - road infrastrucure - is the first thing you need to change. Most of the cities have very bad road planning and infrastrucutre that provides a lot of uncertainties. Eliminate that - and you will get 99.9% reliable transport,Yes – Safe behavior and ethical behavior always go hand in hand,I'm tired
P12,Professional,Postdoc,46-50,Computer Science,>5 years,>5 years,Yes,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Unethical,"I think the time the SDC gave to the pedestrian was too short. Maybe the pedestrian was scared to cross, and was waiting more time to feel safe to start crossing. Maybe a signalisation to the pedestrian also could help. This is a more human behaviour that maybe is not available to SDC",Unethical,The correct attitude would be to wait for the pedestrian to reach the other side of the street to start moving,Unethical,"Even if he thinks the pedestrian has no intention of crossing the street, he should have stopped to be sure",Unethical,"Totally wrong attitude, could have hurt the pedestrian",No – my perception did not change,"I believe the hardest part is adding each person's individual principles to the SDCs. For me, it's not sufficient the hard ethics, but also soft ethics, and this is a challenge",No – A car can be safe but still act unethically (or vice versa),"I explained a bit in the previous answer. Even if an individual isn't in danger, he/she can still feel threatened or unsafe because of each person's individual ethics. These individual principles are a challenge to be added in the SDC, ensuring an individual's sense of safe"
P13,Professional,Masters,26-30,Computer Science,2-5 years,1-2 years,No,No,,,,Neutral,Well the person did not cross the road when the car stopped. However I believe more waiting time is expected from the driver,Unethical,Rash driving,Unethical,Have to stop to check if the pedestrian is going to cross or not,Unethical,Need to stop for the entire length of crossing ,No – my perception did not change,Well I see that the cars are not following the basic driver laws. Would be good to give each car a drivers licence with routine checks,No – A car can be safe but still act unethically (or vice versa),"It is just an algorithm, a little lag can result in disaster "
P14,Professional,Masters,56<,Robotics,>5 years,>5 years,Yes,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,The  pedestrian is not engaging  is in holding ,Unethical,You need to stop  as the pedestrians is cliring  de pelican crossing ,Ethical, The crosing is clear ,Unethical,"Itis road traffic sanction , you need to geav  priority to pedestrians  engaged in crossing ",No – my perception did not change,Need more  regulations and approval  for such  auto ,No – A car can be safe but still act unethically (or vice versa),Iti  a computer  can have malfunction 
